Date,hashrate
1489708800000,3641704.8372
1489622400000,3504460.26124197
1489536000000,3252505.60194
1489449600000,3573175.16833
1489363200000,3321220.50902016
1489276800000,3550270.1993
1489190400000,3412840.38513
1489104000000,3573175.16832514
1489017600000,3389935.4161
1488931200000,3252505.60194
1488844800000,3504460.26124197
1488758400000,3252505.60194
1488672000000,3367030.44708
1488585600000,3069265.84971519
1488499200000,3458650.32319
1488412800000,3440072.18302
1488326400000,3155225.44175408
1488240000000,3352427.03186
1488153600000,3155225.44175
1488067200000,3900209.22661268
1487980800000,3659185.06092
1487894400000,3637273.77313
1487808000000,3286693.16849383
1487721600000,3045669.0028
1487635200000,3023757.71501
1487548800000,3242870.59291391
1487462400000,2936112.56385
1487376000000,3330515.74407
1487289600000,3168918.11912658
1487203200000,3189904.33184
1487116800000,2917083.56661
1487030400000,3546669.94789663
1486944000000,3420752.67164
1486857600000,2959055.99203
1486771200000,2917083.5666132
1486684800000,3105959.481
1486598400000,3546669.9479
1486512000000,3063987.05557934
1486425600000,3168918.11913
1486339200000,2623276.58868
1486252800000,3336807.82080216
1486166400000,3043000.84287
1486080000000,2910612.14912
1485993600000,3066886.62692848
1485907200000,3750587.46733
1485820800000,2832474.91022
1485734400000,2852009.21994623
1485648000000,3262229.72419
1485561600000,2969215.0783
1485475200000,3320832.65336205
1485388800000,3066886.62693
1485302400000,2930146.45885
1485216000000,2910612.14912321
1485129600000,2715269.05187
1485043200000,3398969.89226
1484956800000,3031276.95603728
1484870400000,3165256.04802
1484784000000,2914045.25056
1484697600000,2528855.36111398
1484611200000,2646087.06
1484524800000,2830308.31
1484438400000,2796813.54507307
1484352000000,2880550.47
1484265600000,2528855.36
1484179200000,2897297.86405773
1484092800000,2562350.13
1484006400000,2679581.83
1483920000000,2147763.14141322
1483833600000,2637326.79
1483747200000,2195140.26
1483660800000,2542572.54240829
1483574400000,2210932.64
1483488000000,2432025.91
1483401600000,2589949.6705277
1483315200000,2526780.16
1483228800000,2463610.66
1483142400000,2337271.65389085
1483056000000,2479403.03
1482969600000,2368856.4
1482883200000,2589949.6705277
1482796800000,2405181.75
1482710400000,2189332.11
1482624000000,2574777.90954212
1482537600000,2112242.95
1482451200000,2343510.43
1482364800000,2451435.25519279
1482278400000,2451435.25
1482192000000,2127660.78
1482105600000,2343510.43263714
1482019200000,2173914.28
1481932800000,2235585.61
1481846400000,2050571.62855749
1481760000000,1958064.63
1481673600000,1981473.29
1481587200000,2537426.23887221
1481500800000,2223811.75
1481414400000,2223811.75
1481328000000,1881686.8737704
1481241600000,1924452.48
1481155200000,2238066.96
1481068800000,2494660.6281047
1480982400000,2138280.53
1480896000000,2166790.94
1480809600000,2109770.13119712
1480723200000,2451895.01
1480636800000,2052749.31
1480550400000,2045226.33802898
1480464000000,1989192.73
1480377600000,2115268.33
1480291200000,2297377.53038872
1480204800000,2017209.53
1480118400000,2157293.53
1480032000000,2129276.73548223
1479945600000,2297377.53
1479859200000,2059234.73
1479772800000,1877125.54312249
1479686400000,1961175.94
1479600000000,1807083.54
1479513600000,1989192.73972682
1479427200000,2073243.13
1479340800000,2012500.86
1479254400000,2177044.96421293
1479168000000,1974529.15
1479081600000,2177044.96
1478995200000,1809985.0574561
1478908800000,2126416.01
1478822400000,2063129.82
1478736000000,2126416.01155681
1478649600000,1860614.01
1478563200000,2139073.24
1478476800000,1847956.77194818
1478390400000,1949214.67
1478304000000,1885928.48
1478217600000,1462462.04512809
1478131200000,1966759.3
1478044800000,1676788.37
1477958400000,1815470.12498659
1477872000000,1853292.41
1477785600000,2130655.91
1477699200000,1878507.28210418
1477612800000,1916329.57
1477526400000,2042403.89
1477440000000,1752432.967869
1477353600000,1752432.96
1477267200000,1802862.69
1477180800000,1815470.12498659
1477094400000,1878507.28
1477008000000,2107602.62
1476921600000,1722065.56082647
1476835200000,1619255.67
1476748800000,1991941.5
1476662400000,1606404.44106947
1476576000000,1670660.61
1476489600000,1824875.44
1476403200000,1747768.03188358
1476316800000,1644958.14
1476230400000,1863429.15
1476144000000,1786321.73846925
1476057600000,1606404.44
1475971200000,2056197.68
1475884800000,2171858.80432592
1475798400000,1726771.55
1475712000000,1930626.53
1475625600000,2002575.35061917
1475539200000,1894652.12
1475452800000,1822703.31
1475366400000,1690797.15231918
1475280000000,1882660.65
1475193600000,1702788.62
1475107200000,1714780.09064995
1475020800000,1774737.43
1474934400000,2026558.28
1474848000000,1834694.78230379
1474761600000,2230413.26
1474675200000,1874777.56
1474588800000,1526764.96354624
1474502400000,1582896.02
1474416000000,1863551.35
1474329600000,1717610.58398952
1474243200000,1493086.32
1474156800000,1627800.88
1474070400000,1829872.71366204
1473984000000,1571669.81
1473897600000,1728836.79
1473811200000,1751289.22289128
1473724800000,1863551.35
1473638400000,1829872.71
1473552000000,1799709.05896857
1473465600000,1700944.53
1473379200000,1569258.5
1473292800000,1580232.34446021
1473206400000,1668023.03
1473120000000,1492441.65
1473033600000,1536337.00155853
1472947200000,1964316.59
1472860800000,1382703.3
1472774400000,1678996.86598897
1472688000000,1547310.83
1472601600000,1481467.82
1472515200000,1810682.89469399
1472428800000,1635101.52
1472342400000,1642480.66
1472256000000,1556034.31565588
1472169600000,1426364.78
1472083200000,1404753.2
1471996800000,1653286.46038437
1471910400000,1588451.69
1471824000000,1718121.22
1471737600000,1761344.39897158
1471651200000,1685703.84
1471564800000,1664092.25
1471478400000,1664092.25424309
1471392000000,1329112.64
1471305600000,1469587.96
1471219200000,1577645.90337332
1471132800000,1645931.21
1471046400000,1645931.21
1470960000000,1495388.72623625
1470873600000,1505424.89
1470787200000,1525497.22
1470700800000,1254520.74348679
1470614400000,1495388.72
1470528000000,1485352.56
1470441600000,1676039.71329835
1470355200000,1696112.04
1470268800000,1535533.39
1470182400000,1686075.87924624
1470096000000,1555605.72
1470009600000,1623753.77
1469923200000,1634366.54826568
1469836800000,1262919.6
1469750400000,1560077.15
1469664000000,1453949.46176882
1469577600000,1358434.53
1469491200000,1369047.3
1469404800000,1400885.61279915
1469318400000,1337208.99
1469232000000,1390272.84
1469145600000,1369047.30341735
1469059200000,1411498.38
1468972800000,1591915.46
1468886400000,1358434.53362342
1468800000000,1581302.69
1468713600000,1580609.59
1468627200000,1665474.54434972
1468540800000,1432095.94
1468454400000,1506352.77
1468368000000,1379055.35519404
1468281600000,1516960.89
1468195200000,1516960.89
1468108800000,1654866.42623285
1468022400000,1580609.59
1467936000000,1538177.12
1467849600000,1463920.30012906
1467763200000,1485136.53
1467676800000,1538177.12
1467590400000,1601825.83564846
1467504000000,1603443.84
1467417600000,1551383.97
1467331200000,1634679.7592
1467244800000,1561795.94
1467158400000,1520148.05
1467072000000,1551383.97529172
1466985600000,1530560.02
1466899200000,1530560.02
1466812800000,1728387.51609681
1466726400000,1353556.48
1466640000000,1457676.21
1466553600000,1343144.51552102
1466467200000,1551383.97
1466380800000,1598387.66
1466294400000,1725089.1258919
1466208000000,1549656.33
1466121600000,1452193.67
1466035200000,1452193.67094854
1465948800000,1500925.0
1465862400000,1296253.41
1465776000000,1569148.86592427
1465689600000,1422954.8722
1465603200000,1520417.53468
1465516800000,1403462.33970866
1465430400000,1608133.93092
1465344000000,1403462.33971
1465257600000,1406915.6396715
1465171200000,1684335.62496
1465084800000,1694243.48158
1464998400000,1179034.93747119
1464912000000,1406915.63967
1464825600000,1367284.2132
1464739200000,1426731.35290631
1464652800000,1258297.79041
1464566400000,1436639.20952
1464480000000,1456454.92275853
1464393600000,1317744.93011
1464307200000,1377192.06982
1464220800000,1357376.35658448
1464134400000,1377192.06982
1464048000000,1456454.92276
1463961600000,1747819.1682553
1463875200000,1776788.54673
1463788800000,1361560.78853
1463702400000,1438812.46447535
1463616000000,1168431.59867
1463529600000,1487094.76194
1463443200000,1361560.78853037
1463356800000,1361560.78853
1463270400000,1342247.86954
1463184000000,1390530.16700974
1463097600000,1467781.84295
1463011200000,1342247.86954
1462924800000,1284309.11258538
1462838400000,1403229.58036
1462752000000,1536447.57849
1462665600000,1447635.57973513
1462579200000,1332179.98135
1462492800000,1438754.37986
1462406400000,1385467.1806054
1462320000000,1492041.57911
1462233600000,1341061.18123
