Open Time,Open,High,Low,Close,Volumn,Close Time,Quote Asset Volumn,Number of Trades,Taker Buy Base Asset Volumn,Taker Buy Quote Asset Volumn,Ignore,Date Time
1598659200000,11526.9,11580.02,11417.04,11465.84,32973.7992,1598745599999,379228275.2707224,611834,15709.309985,180675288.37511048,0.0,2020-08-29 00:00:00+00:00
1598745600000,11465.84,11719.0,11458.0,11711.16,43177.879054,1598831999999,501375342.93503886,756541,22258.115902,258461346.4554627,0.0,2020-08-30 00:00:00+00:00
1598832000000,11711.17,11800.77,11570.0,11649.51,55353.617744,1598918399999,646723855.5714536,822062,26579.940284,310534861.61639535,0.0,2020-08-31 00:00:00+00:00
1598918400000,11649.51,12050.85,11515.0,11921.97,78148.193668,1599004799999,928047313.4889666,1321492,37476.019382,444996773.6683221,0.0,2020-09-01 00:00:00+00:00
1599004800000,11921.97,11954.57,11160.1,11388.54,87221.845602,1599091199999,1005391012.1338753,1373524,39972.309887,460939443.22481513,0.0,2020-09-02 00:00:00+00:00
1599091200000,11388.54,11462.6,9960.8,10140.85,121950.106015,1599177599999,1325106403.3158674,1611610,54266.83286,590230451.1123078,0.0,2020-09-03 00:00:00+00:00
1599177600000,10138.29,10627.05,9875.5,10446.25,92733.599113,1599263999999,959925718.3512753,1434860,42707.834666,442163704.1972196,0.0,2020-09-04 00:00:00+00:00
1599264000000,10446.25,10565.68,9825.0,10166.69,90001.605568,1599350399999,917578408.8761182,1476782,43478.132323,443342852.1870749,0.0,2020-09-05 00:00:00+00:00
1599350400000,10166.69,10347.14,9994.86,10256.2,56368.788815,1599436799999,574903000.2351745,1053192,28033.438827,285904912.75096273,0.0,2020-09-06 00:00:00+00:00
1599436800000,10255.89,10410.75,9875.0,10373.44,62620.230676,1599523199999,634278537.8151095,927363,30576.700673,309796338.5452512,0.0,2020-09-07 00:00:00+00:00
1599523200000,10373.45,10438.0,9850.0,10126.65,73491.878418,1599609599999,742947901.9712393,1048125,34410.81447,348048428.8837256,0.0,2020-09-08 00:00:00+00:00
1599609600000,10126.66,10343.0,9981.01,10219.2,49347.113776,1599695999999,503082625.2147909,755560,23815.412427,242759702.91500348,0.0,2020-09-09 00:00:00+00:00
1599696000000,10219.29,10483.35,10070.83,10336.87,58253.75375,1599782399999,602390078.4922807,851877,27690.112498,286362452.83931565,0.0,2020-09-10 00:00:00+00:00
1599782400000,10336.86,10397.6,10200.0,10387.89,43830.254467,1599868799999,451241002.66033614,637869,21231.610727,218592078.0289088,0.0,2020-09-11 00:00:00+00:00
1599868800000,10387.89,10477.97,10269.25,10440.92,35379.153096,1599955199999,366912671.4437269,577724,17560.768885,182148657.45690608,0.0,2020-09-12 00:00:00+00:00
1599955200000,10440.67,10580.11,10200.0,10332.83,43837.609865,1600041599999,455338605.3291489,692439,20785.517328,215965189.3161275,0.0,2020-09-13 00:00:00+00:00
1600041600000,10332.84,10750.0,10212.34,10671.77,67059.291361,1600127999999,706175591.3866128,828957,31880.363157,335719021.03890437,0.0,2020-09-14 00:00:00+00:00
1600128000000,10671.77,10930.04,10606.48,10785.31,61822.452786,1600214399999,666457161.1491377,893852,29744.087277,320640236.4058763,0.0,2020-09-15 00:00:00+00:00
1600214400000,10785.23,11093.0,10661.22,10954.01,64991.51244,1600300799999,708644989.4830699,884153,31740.511691,346117690.57309234,0.0,2020-09-16 00:00:00+00:00
1600300800000,10954.01,11045.46,10745.83,10939.99,55601.614529,1600387199999,605010288.7799246,829137,27029.927035,294147097.61187047,0.0,2020-09-17 00:00:00+00:00
1600387200000,10940.0,11038.03,10812.84,10933.39,47266.728275,1600473599999,516147935.6692284,717371,23044.919886,251654627.23674527,0.0,2020-09-18 00:00:00+00:00
1600473600000,10933.4,11179.79,10887.37,11080.65,38440.036858,1600559999999,423651901.1577304,620127,19923.059267,219623766.3129781,0.0,2020-09-19 00:00:00+00:00
1600560000000,11080.64,11080.64,10723.0,10920.28,39157.922565,1600646399999,426815210.75551224,646329,19437.694363,211845335.515648,0.0,2020-09-20 00:00:00+00:00
1600646400000,10920.28,10988.86,10296.35,10417.22,70683.431179,1600732799999,751020795.2358837,1028531,33628.930589,357346575.1690184,0.0,2020-09-21 00:00:00+00:00
1600732800000,10417.22,10572.71,10353.0,10529.61,43991.235476,1600819199999,460362500.7284081,738576,21497.461589,224981251.32868052,0.0,2020-09-22 00:00:00+00:00
1600819200000,10529.61,10537.15,10136.82,10241.46,51876.568079,1600905599999,539362015.157462,774391,25012.706819,260045385.6515704,0.0,2020-09-23 00:00:00+00:00
1600905600000,10241.46,10795.24,10190.93,10736.32,57676.619427,1600991999999,604520870.055638,789282,27946.804325,292936072.9870462,0.0,2020-09-24 00:00:00+00:00
1600992000000,10736.33,10760.53,10556.24,10686.67,48101.117008,1601078399999,512647249.14932007,733430,23566.330337,251168863.9271173,0.0,2020-09-25 00:00:00+00:00
1601078400000,10686.57,10820.94,10644.68,10728.6,28420.836659,1601164799999,304511477.68085533,502670,14314.531345,153391173.49799377,0.0,2020-09-26 00:00:00+00:00
1601164800000,10728.59,10799.0,10594.82,10774.25,30549.483253,1601251199999,327169249.4549957,516004,15101.03977,161737536.90897185,0.0,2020-09-27 00:00:00+00:00
1601251200000,10774.26,10950.0,10626.0,10696.12,50095.251734,1601337599999,544463219.5978093,686664,25219.073315,274111924.66132486,0.0,2020-09-28 00:00:00+00:00
1601337600000,10696.11,10867.54,10635.87,10840.48,41874.898399,1601423999999,449345822.46022886,587576,19896.076209,213544159.85659412,0.0,2020-09-29 00:00:00+00:00
1601424000000,10840.58,10849.34,10665.13,10776.59,39596.027322,1601510399999,425279696.28526336,595383,18712.059711,200976719.4408508,0.0,2020-09-30 00:00:00+00:00
1601510400000,10776.59,10920.0,10437.0,10619.13,60866.332893,1601596799999,652168989.4617349,794855,28449.975103,304779535.3819748,0.0,2020-10-01 00:00:00+00:00
