,MA_SLOW,MA_FAST,MA_SIGNAL,Multiple,Sharpe
651,3,13,4,-1.0,9999.0
652,3,13,5,-1.0,9999.0
653,3,13,6,-1.0,9999.0
654,3,13,7,-1.0,9999.0
655,3,13,8,-1.0,9999.0
656,3,13,9,-1.0,9999.0
657,3,14,1,2.1499002082938218e-67,-1.2034617555988176
658,3,14,2,2.9481686685092264e-09,-1.0685081779241412
659,3,14,3,-1.0,9999.0
660,3,14,4,-1.0,9999.0
661,3,14,5,-1.0,9999.0
662,3,14,6,-1.0,9999.0
663,3,14,7,-1.0,9999.0
664,3,14,8,-1.0,9999.0
665,3,14,9,-1.0,9999.0
666,3,15,1,2.1806289939785768e-67,-1.2040608249068483
667,3,15,2,4.0590107456516565e-09,-1.067861491308953
668,3,15,3,-1.0,9999.0
669,3,15,4,-1.0,9999.0
670,3,15,5,-1.0,9999.0
671,3,15,6,-1.0,9999.0
672,3,15,7,-1.0,9999.0
673,3,15,8,-1.0,9999.0
674,3,15,9,-1.0,9999.0
675,3,16,1,1.7308850168964143e-67,-1.2048837881980594
676,3,16,2,3.520795790599705e-09,-1.0683086585747252
677,3,16,3,-1.0,9999.0
678,3,16,4,-1.0,9999.0
679,3,16,5,-1.0,9999.0
680,3,16,6,-1.0,9999.0
681,3,16,7,-1.0,9999.0
682,3,16,8,-1.0,9999.0
683,3,16,9,-1.0,9999.0
684,3,17,1,1.4871950432567415e-67,-1.2056128521013612
685,3,17,2,3.8989218843474985e-09,-1.0682007223569574
686,3,17,3,-1.0,9999.0
687,3,17,4,-1.0,9999.0
688,3,17,5,-1.0,9999.0
689,3,17,6,-1.0,9999.0
690,3,17,7,-1.0,9999.0
691,3,17,8,-1.0,9999.0
692,3,17,9,-1.0,9999.0
693,3,18,1,1.36670840909859e-67,-1.2059866214661934
694,3,18,2,4.566302610625951e-09,-1.0679163621097711
695,3,18,3,-1.0,9999.0
696,3,18,4,-1.0,9999.0
697,3,18,5,-1.0,9999.0
698,3,18,6,-1.0,9999.0
699,3,18,7,-1.0,9999.0
700,3,18,8,-1.0,9999.0
701,3,18,9,-1.0,9999.0
702,3,19,1,1.3856935721855992e-67,-1.2062512474086646
703,3,19,2,4.493218760037796e-09,-1.0680361574085597
704,3,19,3,-1.0,9999.0
705,3,19,4,-1.0,9999.0
706,3,19,5,-1.0,9999.0
707,3,19,6,-1.0,9999.0
708,3,19,7,-1.0,9999.0
709,3,19,8,-1.0,9999.0
710,3,19,9,-1.0,9999.0
711,3,20,1,1.2401052816206321e-67,-1.2066276994829155
712,3,20,2,5.1903599910285325e-09,-1.0676948008279854
713,3,20,3,-1.0,9999.0
714,3,20,4,-1.0,9999.0
715,3,20,5,-1.0,9999.0
716,3,20,6,-1.0,9999.0
717,3,20,7,-1.0,9999.0
718,3,20,8,-1.0,9999.0
719,3,20,9,-1.0,9999.0
720,3,21,1,1.252193702854982e-67,-1.2068123047726025
721,3,21,2,5.087403521276323e-09,-1.0678043383209228
722,3,21,3,-1.0,9999.0
723,3,21,4,-1.0,9999.0
724,3,21,5,-1.0,9999.0
725,3,21,6,-1.0,9999.0
726,3,21,7,-1.0,9999.0
727,3,21,8,-1.0,9999.0
728,3,21,9,-1.0,9999.0
