,open,symbol,type,profit,cost,balance,cumsum_long_profit,cumsum_short_profit,cumsum_trading_cost
2668,1634025600000.0,XMRUSDT,short,-209.8049668729082,8.67938529544819,87380.24602161352,,-19115.277606937416,23265.883426517637
2669,1634025600000.0,FTMUSDT,short,159.38855131804567,8.67938529544819,87539.63457293157,,-18955.88905561937,23274.562811813084
2670,1634068800000.0,HNTUSDT,long,71.06753702581727,7.003170765834526,87610.70210995738,6566.591165576712,,23281.56598257892
2671,1634068800000.0,XTZUSDT,long,-38.9654021785034,7.003170765834526,87571.73670777887,6527.625763398209,,23288.569153344753
2672,1634068800000.0,XMRUSDT,long,-116.48292711560335,7.003170765834526,87455.25378066326,6411.1428362826055,,23295.572324110588
2673,1634068800000.0,AXSUSDT,long,-99.53523287586715,7.003170765834526,87355.7185477874,6311.607603406738,,23302.575494876422
2674,1634068800000.0,ATOMUSDT,long,-230.9812774354945,7.003170765834526,87124.7372703519,6080.626325971244,,23309.578665642257
2675,1634068800000.0,1000SHIBUSDT,short,170.67643488376436,7.003170765834526,87295.41370523567,,-18785.212620735605,23316.58183640809
2676,1634068800000.0,YFIUSDT,short,-81.84913135208961,7.003170765834526,87213.56457388357,,-18867.061752087695,23323.585007173926
2677,1634068800000.0,DOTUSDT,short,50.469205492081066,7.003170765834526,87264.03377937565,,-18816.592546595613,23330.58817793976
2678,1634068800000.0,CHZUSDT,short,-142.67836745108377,7.003170765834526,87121.35541192457,,-18959.270914046698,23337.591348705595
2679,1634068800000.0,QTUMUSDT,short,301.19324072993066,7.003170765834526,87422.5486526545,,-18658.077673316766,23344.59451947143
2680,1634112000000.0,FLMUSDT,long,227.37789367266436,6.99380389221236,87649.92654632716,6308.004219643908,,23351.58832336364
2681,1634112000000.0,COTIUSDT,long,-35.13187287761039,6.99380389221236,87614.79467344955,6272.872346766298,,23358.582127255853
2682,1634112000000.0,OGNUSDT,long,216.0173243451465,6.99380389221236,87830.81199779469,6488.889671111444,,23365.575931148065
2683,1634112000000.0,RUNEUSDT,long,-37.935626176029125,6.99380389221236,87792.87637161867,6450.9540449354145,,23372.569735040277
2684,1634112000000.0,ALGOUSDT,long,566.3934758929439,6.99380389221236,88359.2698475116,7017.347520828358,,23379.56353893249
2685,1634112000000.0,DOTUSDT,short,-1708.2244954735913,6.99380389221236,86651.04535203801,,-20366.302168790357,23386.5573428247
2686,1634112000000.0,KNCUSDT,short,-186.45358118505135,6.99380389221236,86464.59177085296,,-20552.755749975408,23393.551146716913
2687,1634112000000.0,1000SHIBUSDT,short,-207.79198985838636,6.99380389221236,86256.79978099457,,-20760.547739833793,23400.544950609124
2688,1634112000000.0,XMRUSDT,short,-23.585550050604894,6.99380389221236,86233.21423094397,,-20784.133289884398,23407.538754501336
2689,1634112000000.0,SUSHIUSDT,short,-76.36318517028002,6.99380389221236,86156.85104577368,,-20860.49647505468,23414.53255839355
2690,1634155200000.0,COTIUSDT,long,423.46238259345205,6.892548083661896,86580.31342836714,7440.80990342181,,23421.42510647721
2691,1634155200000.0,RENUSDT,long,538.0770519322557,6.892548083661896,87118.3904802994,7978.886955354066,,23428.317654560873
2692,1634155200000.0,RUNEUSDT,long,458.0248858382017,6.892548083661896,87576.41536613759,8436.911841192268,,23435.210202644535
2693,1634155200000.0,OCEANUSDT,long,301.52895071279113,6.892548083661896,87877.94431685038,8738.440791905059,,23442.102750728198
2694,1634155200000.0,SNXUSDT,long,491.50522912711114,6.892548083661896,88369.44954597749,9229.94602103217,,23448.99529881186
2695,1634155200000.0,BTCUSDT,short,-50.17839590663385,6.892548083661896,88319.27115007085,,-20910.674870961313,23455.887846895523
2696,1634155200000.0,XRPUSDT,short,-100.80687526046115,6.892548083661896,88218.4642748104,,-21011.481746221772,23462.780394979185
2697,1634155200000.0,YFIUSDT,short,-286.07806973956934,6.892548083661896,87932.38620507083,,-21297.55981596134,23469.672943062847
2698,1634155200000.0,XMRUSDT,short,21.668427637315588,6.892548083661896,87954.05463270814,,-21275.891388324024,23476.56549114651
2699,1634155200000.0,STORJUSDT,short,-58.81743599071497,6.892548083661896,87895.23719671743,,-21334.708824314737,23483.458039230172
2700,1634198400000.0,BTCUSDT,long,-53.32587370465491,7.031618975737395,87841.91132301277,9176.620147327516,,23490.48965820591
2701,1634198400000.0,FILUSDT,long,-45.0438618699006,7.031618975737395,87796.86746114287,9131.576285457615,,23497.521277181644
2702,1634198400000.0,OMGUSDT,long,-286.48791002076103,7.031618975737395,87510.37955112211,8845.088375436853,,23504.55289615738
2703,1634198400000.0,IOTAUSDT,long,-154.04568744526645,7.031618975737395,87356.33386367685,8691.042687991587,,23511.584515133116
2704,1634198400000.0,BCHUSDT,long,-84.48836124356603,7.031618975737395,87271.84550243328,8606.55432674802,,23518.616134108852
2705,1634198400000.0,LINAUSDT,short,11.402081866281435,7.031618975737395,87283.24758429956,,-21323.306742448454,23525.647753084588
2706,1634198400000.0,ONEUSDT,short,369.15455192383996,7.031618975737395,87652.4021362234,,-20954.152190524615,23532.679372060324
2707,1634198400000.0,FTMUSDT,short,457.27217897300176,7.031618975737395,88109.6743151964,,-20496.880011551613,23539.71099103606
2708,1634198400000.0,XMRUSDT,short,208.20891070920783,7.031618975737395,88317.8832259056,,-20288.671100842406,23546.742610011795
2709,1634198400000.0,1000SHIBUSDT,short,456.05373174498595,7.031618975737395,88773.9369576506,,-19832.61736909742,23553.77422898753
2710,1634241600000.0,CELRUSDT,long,-235.01401613505033,7.101914956612049,88538.92294151554,8371.54031061297,,23560.876143944144
2711,1634241600000.0,ATOMUSDT,long,-195.06232364618143,7.101914956612049,88343.86061786936,8176.477986966789,,23567.978058900757
2712,1634241600000.0,XTZUSDT,long,-317.6740425722381,7.101914956612049,88026.18657529712,7858.803944394551,,23575.07997385737
2713,1634241600000.0,BATUSDT,long,-231.59063179794975,7.101914956612049,87794.59594349917,7627.213312596601,,23582.181888813982
2714,1634241600000.0,HOTUSDT,long,-125.62133583787762,7.101914956612049,87668.9746076613,7501.591976758724,,23589.283803770595
2715,1634241600000.0,ONEUSDT,short,255.394155317662,7.101914956612049,87924.36876297895,,-19577.22321377976,23596.385718727208
2716,1634241600000.0,FTMUSDT,short,139.18625655123554,7.101914956612049,88063.55501953019,,-19438.036957228524,23603.48763368382
2717,1634241600000.0,OMGUSDT,short,166.75412532974366,7.101914956612049,88230.30914485993,,-19271.28283189878,23610.589548640433
2718,1634241600000.0,XMRUSDT,short,-250.57333441334288,7.101914956612049,87979.73581044658,,-19521.856166312125,23617.691463597046
2719,1634241600000.0,1000SHIBUSDT,short,661.5479307180015,7.101914956612049,88641.28374116459,,-18860.308235594122,23624.79337855366
2720,1634284800000.0,STMXUSDT,long,47.079954652980064,7.091302699293167,88688.36369581756,7548.671931411704,,23631.884681252952
2721,1634284800000.0,FILUSDT,long,72.01833194189648,7.091302699293167,88760.38202775946,7620.6902633536,,23638.975983952245
2722,1634284800000.0,KAVAUSDT,long,-85.68948532692315,7.091302699293167,88674.69254243255,7535.000778026677,,23646.067286651538
2723,1634284800000.0,BATUSDT,long,84.63776224200885,7.091302699293167,88759.33030467456,7619.638540268686,,23653.15858935083
2724,1634284800000.0,SXPUSDT,long,69.6887817837946,7.091302699293167,88829.01908645836,7689.32732205248,,23660.249892050124
2725,1634284800000.0,CRVUSDT,short,-150.01100308812846,7.091302699293167,88679.00808337022,,-19010.319238682252,23667.341194749417
2726,1634284800000.0,XLMUSDT,short,-121.4623508805385,7.091302699293167,88557.54573248969,,-19131.78158956279,23674.43249744871
2727,1634284800000.0,BNBUSDT,short,-258.73181542361266,7.091302699293167,88298.81391706607,,-19390.513404986403,23681.523800148003
2728,1634284800000.0,WAVESUSDT,short,151.14008983492766,7.091302699293167,88449.954006901,,-19239.373315151475,23688.615102847296
2729,1634284800000.0,CHRUSDT,short,-1080.4606183878298,7.091302699293167,87369.49338851316,,-20319.833933539307,23695.70640554659
2730,1634328000000.0,COTIUSDT,long,296.52859328119456,6.989559471081053,87666.02198179436,7985.855915333675,,23702.69596501767
2731,1634328000000.0,BATUSDT,long,193.41074994573057,6.989559471081053,87859.43273174009,8179.266665279405,,23709.68552448875
2732,1634328000000.0,SANDUSDT,long,135.31641006897942,6.989559471081053,87994.74914180906,8314.583075348384,,23716.675083959828
2733,1634328000000.0,CELRUSDT,long,115.74303854896704,6.989559471081053,88110.49218035804,8430.326113897352,,23723.664643430908
2734,1634328000000.0,HOTUSDT,long,296.8132352851398,6.989559471081053,88407.30541564318,8727.139349182491,,23730.654202901987
2735,1634328000000.0,BNBUSDT,short,-89.71779610922546,6.989559471081053,88317.58761953395,,-20409.55172964853,23737.643762373067
2736,1634328000000.0,STORJUSDT,short,-465.3605329965835,6.989559471081053,87852.22708653737,,-20874.912262645114,23744.633321844147
2737,1634328000000.0,MANAUSDT,short,-238.76028892985227,6.989559471081053,87613.46679760751,,-21113.672551574964,23751.622881315227
2738,1634328000000.0,AXSUSDT,short,-85.62558299080983,6.989559471081053,87527.84121461671,,-21199.298134565775,23758.612440786306
2739,1634328000000.0,ATOMUSDT,short,-331.528190425302,6.989559471081053,87196.3130241914,,-21530.826324991078,23765.602000257386
2740,1634371200000.0,FILUSDT,long,-231.11174185403138,6.975705041935313,86965.20128233737,8496.02760732846,,23772.57770529932
2741,1634371200000.0,CELRUSDT,long,-240.62985664247637,6.975705041935313,86724.57142569488,8255.397750685985,,23779.553410341257
2742,1634371200000.0,STMXUSDT,long,-220.04433259872792,6.975705041935313,86504.52709309616,8035.353418087257,,23786.529115383193
2743,1634371200000.0,XTZUSDT,long,-234.0494368757687,6.975705041935313,86270.47765622039,7801.303981211488,,23793.50482042513
2744,1634371200000.0,KNCUSDT,long,-178.74132745343783,6.975705041935313,86091.73632876696,7622.56265375805,,23800.480525467065
2745,1634371200000.0,YFIUSDT,short,269.1932228614665,6.975705041935313,86360.92955162842,,-21261.63310212961,23807.456230509
2746,1634371200000.0,BNBUSDT,short,242.0369127905836,6.975705041935313,86602.966464419,,-21019.596189339027,23814.431935550936
2747,1634371200000.0,ONEUSDT,short,275.57802298684845,6.975705041935313,86878.54448740586,,-20744.01816635218,23821.40764059287
2748,1634371200000.0,FTMUSDT,short,-504.4153117139143,6.975705041935313,86374.12917569194,,-21248.433478066094,23828.383345634807
2749,1634371200000.0,AXSUSDT,short,104.53205237769762,6.975705041935313,86478.66122806964,,-21143.901425688397,23835.359050676743
2750,1634414400000.0,STMXUSDT,long,-229.00997201915837,6.918292898245572,86249.65125605048,7393.552681738892,,23842.277343574988
2751,1634414400000.0,ALICEUSDT,long,-154.51459662712412,6.918292898245572,86095.13665942336,7239.038085111768,,23849.195636473232
2752,1634414400000.0,CELRUSDT,long,-63.493118000718844,6.918292898245572,86031.64354142263,7175.544967111049,,23856.113929371477
2753,1634414400000.0,KNCUSDT,long,-109.13893264773702,6.918292898245572,85922.50460877489,7066.406034463312,,23863.03222226972
2754,1634414400000.0,ANKRUSDT,long,-48.062156947891225,6.918292898245572,85874.442451827,7018.343877515421,,23869.950515167966
2755,1634414400000.0,UNFIUSDT,short,18.853242571597445,6.918292898245572,85893.29569439859,,-21125.0481831168,23876.86880806621
2756,1634414400000.0,CHZUSDT,short,78.92052682087602,6.918292898245572,85972.21622121947,,-21046.127656295925,23883.787100964455
2757,1634414400000.0,RLCUSDT,short,69.89346620294576,6.918292898245572,86042.10968742242,,-20976.23419009298,23890.7053938627
2758,1634414400000.0,DOTUSDT,short,-37.348845143668335,6.918292898245572,86004.76084227875,,-21013.583035236647,23897.623686760944
2759,1634414400000.0,VETUSDT,short,108.39619828011254,6.918292898245572,86113.15704055886,,-20905.186836956535,23904.54197965919
2760,1634457600000.0,SANDUSDT,long,-274.94018698898606,6.889052563244709,85838.21685356987,6743.403690526435,,23911.431032222434
2761,1634457600000.0,BATUSDT,long,-120.05017879851749,6.889052563244709,85718.16667477136,6623.353511727917,,23918.32008478568
2762,1634457600000.0,EGLDUSDT,long,-138.2225615091768,6.889052563244709,85579.94411326219,6485.1309502187405,,23925.209137348924
2763,1634457600000.0,ZRXUSDT,long,-157.24535850707807,6.889052563244709,85422.69875475511,6327.8855917116625,,23932.09818991217
2764,1634457600000.0,SXPUSDT,long,-348.77840557619226,6.889052563244709,85073.92034917892,5979.10718613547,,23938.987242475414
2765,1634457600000.0,MATICUSDT,short,204.67560558299445,6.889052563244709,85278.59595476191,,-20700.51123137354,23945.87629503866
2766,1634457600000.0,LITUSDT,short,122.39310226266191,6.889052563244709,85400.98905702458,,-20578.11812911088,23952.765347601904
2767,1634457600000.0,UNFIUSDT,short,167.9868971191214,6.889052563244709,85568.9759541437,,-20410.13123199176,23959.65440016515
2768,1634457600000.0,BALUSDT,short,221.88088454773563,6.889052563244709,85790.85683869143,,-20188.250347444024,23966.543452728394
2769,1634457600000.0,TOMOUSDT,short,270.56901341740974,6.889052563244709,86061.42585210883,,-19917.681334026613,23973.43250529164
2770,1634500800000.0,TRXUSDT,long,-83.53881563684918,6.884914068168707,85977.88703647199,5895.568370498621,,23980.31741935981
2771,1634500800000.0,HOTUSDT,long,-137.7137597056761,6.884914068168707,85840.17327676632,5757.854610792945,,23987.20233342798
2772,1634500800000.0,DENTUSDT,long,-213.22160927556928,6.884914068168707,85626.95166749075,5544.633001517376,,23994.08724749615
2773,1634500800000.0,VETUSDT,long,-261.55863399347925,6.884914068168707,85365.39303349727,5283.074367523897,,24000.97216156432
2774,1634500800000.0,ONEUSDT,long,-379.5963095548625,6.884914068168707,84985.7967239424,4903.478057969035,,24007.85707563249
2775,1634500800000.0,RLCUSDT,short,456.4977106212017,6.884914068168707,85442.2944345636,,-19461.18362340541,24014.741989700662
2776,1634500800000.0,LINAUSDT,short,380.9756295911101,6.884914068168707,85823.27006415471,,-19080.2079938143,24021.626903768833
2777,1634500800000.0,ZENUSDT,short,284.8856103163578,6.884914068168707,86108.15567447107,,-18795.322383497944,24028.511817837003
2778,1634500800000.0,XLMUSDT,short,9.034117912603278,6.884914068168707,86117.18979238367,,-18786.28826558534,24035.396731905174
2779,1634500800000.0,KSMUSDT,short,139.20209515360634,6.884914068168707,86256.39188753728,,-18647.086170431732,24042.281645973344
2780,1634544000000.0,ONEUSDT,long,154.71225791311906,6.900511351002983,86411.1041454504,5058.190315882154,,24049.182157324347
2781,1634544000000.0,OMGUSDT,long,66.5987718916762,6.900511351002983,86477.70291734207,5124.78908777383,,24056.08266867535
2782,1634544000000.0,1INCHUSDT,long,273.6269636864074,6.900511351002983,86751.32988102848,5398.416051460237,,24062.983180026353
